,timestamp,user_id,event
0,2018-04-03 18:06:34.479857,80780,updated_deal
1,2018-04-03 18:06:34.527157,28499,created_task
2,2018-04-03 18:06:34.569700,92705,created_note
3,2018-04-03 18:06:34.610989,27268,created_deal
4,2018-04-03 18:06:34.660069,24094,updated_deal
5,2018-04-03 18:06:34.713086,82588,checked_commissions
6,2018-04-03 18:06:34.773330,38443,updated_deal
7,2018-04-03 18:06:34.808889,49804,created_deal
8,2018-04-03 18:06:34.850183,51877,created_note
9,2018-04-03 18:06:34.904162,86899,edited_note
10,2018-04-03 18:06:34.939205,27352,checked_commissions
11,2018-04-03 18:06:34.981974,57368,created_deal
12,2018-04-03 18:06:35.024926,12246,checked_commissions
13,2018-04-03 18:06:35.067056,75451,updated_deal
14,2018-04-03 18:06:35.106969,44712,updated_deal
15,2018-04-03 18:06:35.146380,83943,updated_deal
16,2018-04-03 18:06:35.181261,15522,checked_commissions
17,2018-04-03 18:06:35.230781,72785,updated_deal
18,2018-04-03 18:06:35.290260,42046,shared_note
19,2018-04-03 18:06:35.332815,80055,checked_commissions
20,2018-04-03 18:06:35.364393,56828,completed_task
21,2018-04-03 18:06:35.409370,52160,created_task
22,2018-04-03 18:06:35.445676,46012,edited_note
23,2018-04-03 18:06:35.482001,12630,updated_deal
24,2018-04-03 18:06:35.530536,13739,checked_commissions
25,2018-04-03 18:06:35.572188,65369,created_task
26,2018-04-03 18:06:35.624465,18421,edited_note
27,2018-04-03 18:06:35.664329,31101,checked_commissions
28,2018-04-03 18:06:35.705282,80689,shared_note
29,2018-04-03 18:06:35.740068,93824,checked_commissions
30,2018-04-03 18:06:35.773514,14288,checked_commissions
31,2018-04-03 18:06:35.812917,53584,checked_commissions
32,2018-04-03 18:06:35.856737,67818,updated_deal
33,2018-04-03 18:06:35.900674,50180,created_note
34,2018-04-03 18:06:35.952243,19810,completed_task
35,2018-04-03 18:06:35.999471,51958,checked_commissions
36,2018-04-03 18:06:36.030853,67306,completed_task
37,2018-04-03 18:06:36.066559,63675,updated_deal
38,2018-04-03 18:06:36.102874,39405,shared_note
39,2018-04-03 18:06:36.142095,51175,edited_note
40,2018-04-03 18:06:36.177189,84179,edited_note
41,2018-04-03 18:06:36.214462,27789,completed_task
42,2018-04-03 18:06:36.269514,48689,checked_commissions
43,2018-04-03 18:06:36.323743,81752,completed_task
44,2018-04-03 18:06:36.361038,88845,created_note
45,2018-04-03 18:06:36.401747,77537,created_note
46,2018-04-03 18:06:36.447428,90531,created_deal
47,2018-04-03 18:07:35.530536,13739,checked_commissions
48,2018-04-03 18:09:35.952243,19810,checked_commissions
49,2018-04-03 18:10:35.106969,44712,edited_note
50,2018-04-03 18:10:36.401747,77537,checked_commissions
51,2018-04-03 18:11:35.290260,42046,completed_task
52,2018-04-03 18:13:35.664329,31101,updated_deal
53,2018-04-03 18:13:36.401747,77537,shared_note
54,2018-04-03 18:14:35.572188,65369,shared_note
55,2018-04-03 18:14:36.066559,63675,updated_deal
56,2018-04-03 18:15:35.482001,12630,created_deal
57,2018-04-03 18:15:36.066559,63675,created_deal
58,2018-04-03 18:17:35.364393,56828,updated_deal
59,2018-04-03 18:17:36.361038,88845,completed_task
60,2018-04-03 18:18:34.808889,49804,created_task
61,2018-04-03 18:18:34.981974,57368,edited_note
62,2018-04-03 18:18:35.664329,31101,shared_note
63,2018-04-03 18:18:35.705282,80689,shared_note
64,2018-04-03 18:20:35.181261,15522,created_task
65,2018-04-03 18:20:35.445676,46012,created_deal
66,2018-04-03 18:21:34.939205,27352,updated_deal
67,2018-04-03 18:21:35.624465,18421,updated_deal
68,2018-04-03 18:21:36.030853,67306,completed_task
69,2018-04-03 18:22:36.142095,51175,created_deal
70,2018-04-03 18:23:36.177189,84179,checked_commissions
71,2018-04-03 18:24:34.713086,82588,created_deal
72,2018-04-03 18:25:34.904162,86899,completed_task
73,2018-04-03 18:25:35.705282,80689,created_task
74,2018-04-03 18:25:36.102874,39405,checked_commissions
75,2018-04-03 18:26:35.067056,75451,updated_deal
76,2018-04-03 18:26:35.106969,44712,shared_note
77,2018-04-03 18:26:35.773514,14288,completed_task
78,2018-04-03 18:27:34.660069,24094,checked_commissions
79,2018-04-03 18:27:35.146380,83943,created_deal
80,2018-04-03 18:27:35.290260,42046,created_task
81,2018-04-03 18:27:36.142095,51175,created_deal
82,2018-04-03 18:28:34.850183,51877,created_task
83,2018-04-03 18:28:35.230781,72785,created_deal
84,2018-04-03 18:28:35.445676,46012,created_task
85,2018-04-03 18:29:34.479857,80780,checked_commissions
86,2018-04-03 18:29:35.999471,51958,checked_commissions
87,2018-04-03 18:30:35.740068,93824,created_deal
88,2018-04-03 18:31:34.527157,28499,created_deal
89,2018-04-03 18:31:35.482001,12630,created_deal
90,2018-04-03 18:31:36.447428,90531,shared_note
91,2018-04-03 18:32:35.856737,67818,checked_commissions
92,2018-04-03 18:32:36.214462,27789,updated_deal
93,2018-04-03 18:32:36.269514,48689,created_task
94,2018-04-03 18:33:34.939205,27352,updated_deal
95,2018-04-03 18:33:35.230781,72785,updated_deal
96,2018-04-03 18:33:36.142095,51175,checked_commissions
97,2018-04-03 18:35:34.610989,27268,updated_deal
98,2018-04-03 18:35:34.713086,82588,checked_commissions
99,2018-04-03 18:35:35.067056,75451,created_note
100,2018-04-03 18:35:35.364393,56828,created_task
